column_name,dtype,missing_values,non_null_count
ResponseId,int64,0,18845
MainBranch,object,0,18845
Age,object,0,18845
Employment,object,0,18845
RemoteWork,object,0,18845
Check,object,0,18845
CodingActivities,object,0,18845
EdLevel,object,0,18845
LearnCode,object,0,18845
LearnCodeOnline,object,0,18845
TechDoc,object,0,18845
YearsCode,object,0,18845
YearsCodePro,object,0,18845
DevType,object,0,18845
OrgSize,object,0,18845
PurchaseInfluence,object,0,18845
BuyNewTool,object,0,18845
BuildvsBuy,object,0,18845
TechEndorse,object,0,18845
Country,object,0,18845
Currency,object,0,18845
CompTotal,float64,0,18845
LanguageHaveWorkedWith,object,0,18845
LanguageWantToWorkWith,object,0,18845
LanguageAdmired,object,0,18845
DatabaseHaveWorkedWith,object,0,18845
DatabaseWantToWorkWith,object,0,18845
DatabaseAdmired,object,0,18845
PlatformHaveWorkedWith,object,0,18845
PlatformWantToWorkWith,object,0,18845
PlatformAdmired,object,0,18845
WebframeHaveWorkedWith,object,0,18845
WebframeWantToWorkWith,object,0,18845
WebframeAdmired,object,0,18845
EmbeddedHaveWorkedWith,object,0,18845
EmbeddedWantToWorkWith,object,0,18845
EmbeddedAdmired,object,0,18845
MiscTechHaveWorkedWith,object,0,18845
MiscTechWantToWorkWith,object,0,18845
MiscTechAdmired,object,0,18845
ToolsTechHaveWorkedWith,object,0,18845
ToolsTechWantToWorkWith,object,0,18845
ToolsTechAdmired,object,0,18845
NEWCollabToolsHaveWorkedWith,object,0,18845
NEWCollabToolsWantToWorkWith,object,0,18845
NEWCollabToolsAdmired,object,0,18845
OpSysPersonal use,object,0,18845
OpSysProfessional use,object,0,18845
OfficeStackAsyncHaveWorkedWith,object,0,18845
OfficeStackAsyncWantToWorkWith,object,0,18845
OfficeStackAsyncAdmired,object,0,18845
OfficeStackSyncHaveWorkedWith,object,0,18845
OfficeStackSyncWantToWorkWith,object,0,18845
OfficeStackSyncAdmired,object,0,18845
AISearchDevHaveWorkedWith,object,0,18845
AISearchDevWantToWorkWith,object,0,18845
AISearchDevAdmired,object,0,18845
NEWSOSites,object,0,18845
SOVisitFreq,object,0,18845
SOAccount,object,0,18845
SOPartFreq,object,0,18845
SOHow,object,0,18845
SOComm,object,0,18845
AISelect,object,0,18845
AISent,object,0,18845
AIBen,object,0,18845
AIAcc,object,0,18845
AIComplex,object,0,18845
AIToolCurrently Using,object,0,18845
AIToolInterested in Using,object,0,18845
AIToolNot interested in Using,object,0,18845
AINextMuch more integrated,object,0,18845
AINextNo change,object,0,18845
AINextMore integrated,object,0,18845
AINextLess integrated,object,0,18845
AINextMuch less integrated,object,0,18845
AIThreat,object,0,18845
AIEthics,object,0,18845
AIChallenges,object,0,18845
TBranch,object,0,18845
ICorPM,object,0,18845
WorkExp,float64,0,18845
Knowledge_1,object,0,18845
Knowledge_2,object,0,18845
Knowledge_3,object,0,18845
Knowledge_4,object,0,18845
Knowledge_5,object,0,18845
Knowledge_6,object,0,18845
Knowledge_7,object,0,18845
Knowledge_8,object,0,18845
Knowledge_9,object,0,18845
Frequency_1,object,0,18845
Frequency_2,object,0,18845
Frequency_3,object,0,18845
TimeSearching,object,0,18845
TimeAnswering,object,0,18845
Frustration,object,0,18845
ProfessionalTech,object,0,18845
ProfessionalCloud,object,0,18845
ProfessionalQuestion,object,0,18845
Industry,object,0,18845
JobSatPoints_1,float64,0,18845
JobSatPoints_4,float64,0,18845
JobSatPoints_5,float64,0,18845
JobSatPoints_6,float64,0,18845
JobSatPoints_7,float64,0,18845
JobSatPoints_8,float64,0,18845
JobSatPoints_9,float64,0,18845
JobSatPoints_10,float64,0,18845
JobSatPoints_11,float64,0,18845
SurveyLength,object,0,18845
SurveyEase,object,0,18845
ConvertedCompYearly,float64,0,18845
JobSat,float64,0,18845
ConvertedCompYearly_MinMax,float64,0,18845
ConvertedCompYearly_Zscore,float64,0,18845
