age,education_level,respondent_count
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3985
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2178
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2115
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1685
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1468
25-34 years old,Some college/university study without earning a degree,843
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",783
35-44 years old,Some college/university study without earning a degree,665
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",616
18-24 years old,Some college/university study without earning a degree,496
18-24 years old,Secondary school,495
45-54 years old,Some college/university study without earning a degree,344
18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",299
25-34 years old,Secondary school,288
35-44 years old,Professional degree,249
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",237
25-34 years old,Associate degree,231
35-44 years old,Secondary school,197
55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",196
35-44 years old,Associate degree,176
25-34 years old,Professional degree,157
45-54 years old,Professional degree,153
18-24 years old,Associate degree,132
55-64 years old,Some college/university study without earning a degree,88
25-34 years old,Something else,76
Under 18 years old,Secondary school,73
45-54 years old,Secondary school,70
45-54 years old,Associate degree,68
55-64 years old,Professional degree,65
18-24 years old,Something else,53
Under 18 years old,Primary school,38
35-44 years old,Something else,36
25-34 years old,Primary school,30
35-44 years old,Primary school,26
65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25
18-24 years old,Primary school,25
65 years or older,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22
55-64 years old,Associate degree,22
18-24 years old,Professional degree,20
55-64 years old,Secondary school,17
65 years or older,Professional degree,13
45-54 years old,Something else,12
Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
Under 18 years old,Some college/university study without earning a degree,10
65 years or older,Some college/university study without earning a degree,7
45-54 years old,Primary school,7
Under 18 years old,Something else,7
Under 18 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
55-64 years old,Primary school,4
65 years or older,Associate degree,4
Prefer not to say,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Prefer not to say,Some college/university study without earning a degree,3
55-64 years old,Something else,3
Prefer not to say,Professional degree,2
Prefer not to say,Secondary school,2
Prefer not to say,Something else,2
65 years or older,Primary school,2
Under 18 years old,Professional degree,2
65 years or older,Something else,1
65 years or older,Secondary school,1
Under 18 years old,Associate degree,1
