file,rows,purpose
data/cleaned_outputs/survey_data_cleaned_reduced.csv,18845,Source dataset used to generate all auxiliary files
current_top10_languages_used.csv,10,Current Technology Usage - Top 10 Languages Used
current_top10_databases_used.csv,10,Current Technology Usage - Top 10 Databases Used
current_top10_platforms_used.csv,10,Current Technology Usage - Top 10 Platforms Used
current_top10_webframeworks_used_bubble.csv,10,Current Technology Usage - Top 10 Web Frameworks Used
future_top10_languages_desired.csv,10,Future Technology Trends - Top 10 Languages Desired Next Year
future_top10_databases_desired.csv,10,Future Technology Trends - Top 10 Databases Desired Next Year
future_top10_platforms_desired.csv,10,Future Technology Trends - Top 10 Desired Platforms
future_top10_webframeworks_desired_bubble.csv,10,Future Technology Trends - Top 10 Desired Web Frameworks
demographics_respondents_by_age.csv,8,Demographics - Respondents by Age
demographics_respondent_count_by_country.csv,161,Demographics - Respondent Count by Country
demographics_distribution_by_education_level.csv,8,Demographics - Respondent Distribution by Education Level
demographics_respondent_count_by_age_and_education.csv,61,"Demographics - Respondent Count by Age, Classified by Education Level"
current_technologies_grouped.csv,10,Grouped asset for Current Technology Usage dashboard
future_technologies_grouped.csv,10,Grouped asset for Future Technology Trend dashboard
demographics_grouped.csv,161,Grouped asset for Demographics dashboard
